system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy
2_1265_0,164.89107,1991.5,1411.0,574.5,782.0,844.5,1261.0,2063.0,2276.0,2432.5,2453.0,463409.5000105199,528,0.48458958,2.88040260509177,1.079923273657289,0.818705035971223,1.4114103472714388,3.837055,-17.65489544885328,-9.192125202449326,8.462770246403956,0,22.18519849849356,79.66030869174467,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,DHUMA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1266_0,251.32545,2131.0,1365.5,522.0,723.5,625.5,1081.0,1870.875,2231.0,2345.0,2422.5,463409.5000105199,328,0.5788588,3.749000799360512,0.8645473393227368,0.9087420042643924,1.5606005126327354,11.4325,-15.577617017155454,-9.800284443238889,5.777332573916565,0,21.648904273874205,79.9139030964516,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,MUSCOVITE SCHIST,,PALAEOPROTEROZOIC-MUSCOVITE-SCHIST
2_1267_0,90.0,3161.0,2357.0,812.1666666666666,1080.0,1274.6666666666667,1748.4,2291.5,2532.6,2610.0,2764.0,463409.5000105199,294,0.34374464,2.047594142259414,1.180246913580247,1.211111111111111,1.3411115825201527,3.9846737,-17.919401386626024,-9.817828716659424,8.1015726699666,0,21.634082071686237,80.10120183319053,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1268_0,28.39866,2592.0,1706.0,685.0,879.0,957.0,1362.0,2080.5,2474.0,2540.0,2719.5,463409.5000105199,482,0.45267373,2.6541274817136884,1.0887372013651877,1.020472440944882,1.5193434935521688,2.107798,-17.732465856420852,-11.274710049018111,6.457755807402741,0,22.3644123976754,80.17558233871563,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1269_0,270.0,2181.5,1587.5,715.0,929.0,1060.0,1398.5,2089.0,2334.0,2432.0,2595.5,463409.5000105199,474,0.39289805,2.2943396226415094,1.1410118406889127,0.8969983552631579,1.3741732283464567,4.001964,-17.370017284152386,-9.864544102702292,7.505473181450093,0,22.25203315563205,79.78993558724312,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,MANDLA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1270_0,28.269152,2489.0,1654.0,641.5,808.0,773.0,1204.0,2019.0,2294.5,2477.0,2499.0,2757.5713952679453,300,0.52430767,3.204398447606727,0.9566831683168316,1.0048445700444086,1.5048367593712213,2.105233,-16.08436725977047,-10.16221636135576,5.922150898414712,0,21.59635282975321,79.69076157987632,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1271_0,238.34476,1966.0,1650.0,557.0,756.5,888.0,1241.5,1956.0,2221.0,2284.0,2430.5,463409.5000105199,500,0.44010088,2.572072072072072,1.1738268341044282,0.8607705779334501,1.1915151515151514,3.5301259,-15.636295651836514,-9.717727375819528,5.918568276016986,0,22.361717451823043,79.70073287953005,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,DHUMA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1272_0,132.94933,2837.0,1882.0,584.0,792.0,891.0,1386.0,2046.0,2304.0,2380.0,2598.0,463409.5000105199,293,0.45521247,2.6711560044893377,1.125,1.192016806722689,1.5074388947927737,4.0768623,-16.768231777059903,-10.077578462706796,6.690653314353106,0,21.430344165247924,79.95486627340746,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,AMGAON GNEISSIC COMPLEX,,GRANITE GNEISS/MIGMATITE,,ARCHAEAN-GRANITE-GNEISS-MIGMATITE
2_1273_0,238.21568,2013.5,1142.5,516.25,695.5,617.0,1082.75,2126.0,2362.0,2709.5,2640.0,1218.2774724995943,336,0.6290395,4.391410048622366,0.8871315600287563,0.7431260380143938,1.762363238512035,3.517315,-15.927004722756044,-9.709781686973272,6.217223035782771,0,21.647556800948024,79.64009659785198,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1274_0,238.34634,1621.0,865.0,389.0,496.0,432.0,852.0,1723.0,2067.0,2276.0,2387.0,463409.5000105199,585,0.68094534,5.268518518518518,0.8709677419354839,0.7122144112478032,1.8739884393063584,3.5302837,-14.807122942571592,-8.215104132149161,6.592018810422431,0,22.37034127855059,80.49142999261205,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1275_0,331.72263,2680.0,1813.0,720.0769230769231,915.0,1034.5555555555557,1425.2727272727273,2009.0,2254.0,2349.25,2511.428571428572,463409.5000105199,283,0.3885254,2.2707818709053806,1.130661809350334,1.140789613706502,1.4782129067843353,2.1053953,-17.828187759898064,-10.78700938725158,7.041178372646483,0,21.646209328021847,80.06886248296223,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1276_0,349.81583,2281.5,1324.5,476.0,745.0,700.0,1340.5,2274.5,2578.0,2683.0,2888.0,463409.5000105199,649,0.58616614,3.832857142857143,0.9395973154362416,0.8503540812523295,1.722536806342016,5.6357813,-14.682725966098968,-8.492042415910518,6.190683550188449,0,21.911122505308693,79.5274478612234,"{""type"":""MultiPoint"",""coordinates"":[]}",CENOZOIC,,,,LATERITE,,CENOZOIC-LATERITE
2_1277_0,270.0,1695.0,1253.0,587.5,722.5,870.0,1096.0,1862.5,2083.0,2163.0,2327.0,463409.5000105199,474,0.42631057,2.486206896551724,1.204152249134948,0.7836338418862691,1.3527533918595371,1.0025328,-16.939853457397355,-10.024396286250832,6.915457171146523,0,22.32371871530479,79.92791681488387,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,DHUMA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1278_0,17.957254,1521.5,728.5,327.5,476.5,379.5,708.0,1671.5,1939.5,2227.0,2225.0,463409.5000105199,694,0.7088049,5.86824769433465,0.7964323189926548,0.683206106870229,2.088538091969801,9.65735,-14.302985583372628,-7.531029159746811,6.771956423625817,0,22.232899040080305,80.66471501091871,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,LINGA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1279_0,90.0,2745.0,2117.0,819.0,1034.5,1129.0,1517.5,2204.5,2423.0,2485.5,2638.5,2579.65113920468,319,0.37529394,2.2015057573073515,1.0913484775253746,1.104405552202776,1.2966461974492205,1.9942511,-15.705642989195807,-8.622352063635624,7.083290925560183,0,21.59796979726463,79.65626627296614,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1280_0,-0.0,3279.5,2284.0,764.8,1034.6,1200.5,1659.9333333333334,2272.25,2530.75,2626.5,2857.5,1654.2369842317032,347,0.37261564,2.187838400666389,1.1603518267929636,1.2486198362840282,1.4358581436077058,1.8543341,-16.884963379578984,-9.906107777711314,6.97885560186767,0,21.69040644000053,79.78616266304981,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1281_0,149.04068,1912.0,1111.5,385.5,555.5,493.0,928.0,1566.0,1798.5,1903.5,2071.5,463409.5000105199,580,0.58856666,3.86105476673428,0.8874887488748875,1.0044654583661676,1.7201979307242463,9.642159,-14.125456355004092,-7.6849218332764,6.4405345217276935,0,22.16687286669752,79.6026368505042,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,PIPARDAHI,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1282_0,227.22896,2036.5,1528.5,661.0,859.5,992.0,1236.0,1989.5,2236.5,2311.0,2528.0,463409.5000105199,462,0.39933392,2.329637096774193,1.1541593949970914,0.8812202509736045,1.3323519790644422,1.3655659,-17.240056289567576,-11.85514942888572,5.384906860681857,0,22.320754274867195,79.90662674265025,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,DHUMA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1283_0,227.14507,1666.0,1012.0,560.0,835.0,767.0,1214.0,1782.0,1925.0,2036.0,1997.0,463409.5000105199,536,0.45272923,2.6544980443285526,0.918562874251497,0.8182711198428291,1.6462450592885376,2.7252777,-18.315859010779413,-11.503151882902342,6.81270712787707,0,21.90654109735968,79.7799642875894,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1284_0,180.0,2988.5,2269.333333333333,866.3636363636364,1125.571428571429,1202.8,1715.2,2400.25,2703.0,2772.1428571428573,2993.0,463409.5000105199,332,0.39480892,2.304741317877334,1.0686127681177813,1.078046895130121,1.3169065804935371,3.7047918,-17.585433607831796,-9.152337454888809,8.433096152942987,0,21.934838028809448,80.0340976814668,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1285_0,-0.0,2253.0,1764.0,726.5,930.5,1081.0,1286.0,1907.5,2146.0,2189.0,2309.5,463409.5000105199,479,0.33883792,2.0249768732654947,1.1617409994626544,1.0292370945637277,1.2772108843537415,0.0,-18.74241976868902,-10.805727988592428,7.936691780096593,0,22.25661456358106,79.87159244656958,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,DHUMA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
