system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy,NDMI,NBR,NDRE,Iron_Oxide_Index,Clay_Alteration_Index,Ferrous_Index,SWIR_Red_Ratio,SWIR_Green_Ratio,NIR_SWIR2_Ratio,BSI,B11_B12_NormDiff,B8_B12_NormDiff,B4_B2_NormDiff,Sausar_Group_Proxy,Metamorphic_Host_Proxy,Geology_Unknown,Geo_Boundary_Distance_km,Geo_Boundary_Density_1km,Geo_Boundary_Density_3km,Lithology_Diversity_3km,Formation_Diversity_3km,Aspect_Sin,Aspect_Cos
1_0_0,-0.0,2795.0,2231.0,774.5,929.0,1054.5,1433.5,2026.0,2296.5,2399.0,2562.0,50.0,281,0.3893152,2.2750118539592226,1.135091496232508,1.165068778657774,1.2528014343343792,1.8543341,-16.74050361755398,-6.51489684399158,10.2256067735624,1,21.53248261305232,79.98235472110152,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.07624181746703083,0.03628509718438767,0.28244274802091285,1.3615235618314738,1.2528014337728368,0.9299708207878404,2.6505452796106725,3.0086114068798584,1.0753025544261308,0.09625516159814108,0.11221647431113878,0.03628509718438767,0.15308911965386052,0,1,0,0.26046739790351453,33,77,4,1,-0.0,1.0
1_1_0,117.96805,2259.5,1922.5,726.4545454545455,886.0,1005.25,1332.0,1692.0,1777.3333333333333,1820.0,1968.0,10.0,325,0.28838155,1.81049490176573,1.1345936794582392,1.2414835164835163,1.175292587776333,7.861023,-12.83681152344607,-2.965344816512596,9.871466706933475,1,21.6833995807844,79.72498739220127,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,SCHIST,,PALAEOPROTEROZOIC-SCHIST,-0.10773379087933968,-0.02738810954512008,0.19272727266887052,1.3837754955297796,1.1752925871649973,1.0563186807382863,2.247699574983636,2.550225730755953,0.946684004709137,0.12360526097531556,0.08058345287408333,-0.02738810954512008,0.16099481583983496,1,1,0,0.18348164429078784,33,121,4,1,0.8832092482604785,-0.4689791293726837
1_2_0,-0.0,1215.0,1108.0,760.0,786.0,842.0,952.0,1043.0,1092.0,1072.0,1112.0,53.85164807134504,303,0.12016719,1.2731591448931117,1.0712468193384224,1.1333955223880596,1.0965703971119134,0.92740995,-18.026294642301885,-9.263367236385282,8.762927405916603,1,21.850486223630625,80.22543883698425,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE,-0.06252732835044716,-0.016513761460314788,0.07751937980740341,1.1078947353843491,1.0965703961222288,1.0335820885880762,1.4429928723954955,1.5458015247508887,0.9675090243975549,0.05785548982827064,0.04606112783208734,-0.016513761460314788,0.051186017446200986,1,1,0,0.8060710883838921,44,88,5,1,-0.0,1.0
1_3_0,132.86362,2704.0,1901.0,632.0,835.0,853.0,1377.0,2080.0,2229.0,2208.0,2539.0,44.7213595499958,338,0.4426658,2.5885111371629543,1.0215568862275448,1.2246376811594204,1.422409258285113,5.437397,-19.365576861332418,-11.420793744193611,7.944783117138805,1,21.863421963721947,79.98019876441963,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.10097719867651114,0.07471404232788657,0.29673135845333726,1.3496835421682223,1.4224092575368703,0.8609601445376087,3.169988272954293,3.2383233494151815,1.1614939499413497,0.11208378925870192,0.17437567857233968,0.07471404232788657,0.14882154872133227,0,1,0,0.691652204451953,44,88,5,2,0.732974975339414,-0.6802556030832715
1_4_0,114.95574,2922.0,2035.0,711.0,1066.0,1108.0,1700.0,2444.0,2779.0,2921.0,3076.0,70.71067811865476,285,0.4499876,2.6362815884476536,1.0393996247654784,1.000342348510784,1.4358722358722358,2.1971948,-16.355217141299107,-10.160093052962054,6.195124088337053,1,21.45028676455538,79.76487259081618,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE,-0.00017114495975164385,0.17877320416086093,0.28810720261974304,1.5583684928855577,1.4358722351666475,0.6966792192068884,2.6371841131433356,2.741088177541193,1.4353808346754884,0.05194466196137501,0.17893887428304642,0.17877320416086093,0.2182517865760023,1,1,0,0.27366224452528465,55,165,7,2,0.9066339819011509,-0.4219180286051589
1_5_0,19.704397,323.0,222.0,468.0,624.0,515.0,566.0,457.0,456.0,393.0,377.0,50.99019513592785,281,-0.13436124,0.7631067961165049,0.8253205128205128,0.821882951653944,1.454954954954955,2.9529178,-27.383312633349966,-21.587510006435355,5.795802626914611,1,21.449747775384907,79.76810652583902,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE,0.09776536299194782,0.27804878003569306,-0.20042417794228612,1.1004273480760098,1.454954948401104,0.5648854947458385,0.6271844648015835,0.5176282042986727,1.77027026229608,-0.01353737491845946,0.18532110057739248,0.27804878003569306,0.04781281785573467,1,1,0,0.419621975706741,66,165,7,2,0.3371675078826891,0.9414446726325327
1_6_0,141.0959,2033.5,1187.5,501.5,663.0,590.1666666666667,1038.0,1699.0,1918.0,2121.0,2213.6666666666665,14.142135623730953,329,0.56464005,3.593900028240609,0.890145801910508,0.9587458745874587,1.7124210526315788,4.756419,-14.934872632412617,-7.5461858593490385,7.388686773063578,1,21.66642142191453,79.66650706720509,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.021061499573700442,0.2821520325579108,0.361558175183529,1.1768029222130885,1.71242105118954,0.5598774160490912,3.4456368199170226,3.067119150728327,1.786105261653806,0.00022238459823577567,0.26265135043071985,0.2821520325579108,0.08122137397140032,0,1,0,0.18455562972856696,33,77,3,2,0.6280187459533345,-0.7781982104394748
1_7_0,-0.0,1206.0,1162.0,703.0,739.0,776.0,864.0,931.0,955.0,953.0,983.0,10.0,308,0.10237131,1.2280927835051547,1.0500676589986468,1.2654774396642183,1.0378657487091223,0.92740995,-16.658393298262897,-9.07213539337138,7.586257904891516,1,21.84994723446016,80.22705580449568,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE,-0.11718388137230946,-0.09881796685635084,0.06442880343019555,1.1038406812178654,1.0378657478159503,1.2193074488779565,1.5541237093374694,1.6319350451529973,0.8201376929258711,0.08960967562132774,0.01858108107323434,-0.09881796685635084,0.049357674070752075,1,1,0,0.6302720881886336,44,88,5,1,-0.0,1.0
1_8_0,87.34261,1848.0,944.0,396.0,564.0,469.0,928.0,2049.0,2417.0,2390.0,2726.0,31.6227766016838,656,0.67191327,5.095948827292111,0.8315602836879432,0.7732217573221757,1.957627118644068,19.246607,-12.35740797430669,-6.44666380763681,5.910744166669881,1,21.833508064760768,80.36584551589215,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.1278905143634048,0.43371325721844234,0.49206349192882776,1.1843434313526682,1.9576271165703103,0.39497907933264476,3.940298499061197,3.276595738871284,2.531779658334979,-0.09190672151834083,0.32378223484105223,0.43371325721844234,0.0843930634862508,0,1,0,2.0608548915266978,22,44,4,0,0.9989246310833086,0.04636357854044099
1_9_0,28.245031,1772.0,1345.0,694.0,988.0,1017.0,1316.0,1366.0,1507.0,1392.0,1430.0,10.0,284,0.15566625,1.368731563421829,1.029352226720648,1.2729885057471264,1.317472118959108,4.203849,-25.442450753307767,-15.131351944055872,10.311098809251895,1,21.449747775384907,79.76675905291283,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE,-0.12010113776229421,0.017172086219520613,0.041514930793330324,1.4654178653236054,1.3174721179795745,0.9662356314897732,1.742379545976028,1.7935222653911718,1.0349442371487403,0.14420512817554765,0.13699069613827697,0.017172086219520613,0.188778491999545,1,1,0,0.37572998882134473,66,165,7,2,0.47324326979404596,0.880931783735063
